,pokemonId,latitude,longitude,appearedLocalTime,appearedTimeOfDay,city,continent,weather,population_density,urban,suburban,midurban,neigbour
0,16,20.525745,-97.460829,2016-09-08T03:57:45,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
1,133,20.523695,-97.461167,2016-09-08T03:57:37,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
2,16,38.90359,-77.19978,2016-09-08T03:57:25,night,New_York,America,Clear,761.8856,False,True,True,Dranesville，Fairfax County
3,13,47.665903,-122.31256100000002,2016-09-08T03:56:22,night,Los_Angeles,America,PartlyCloudy,4842.1626,True,True,True,Northeast Seattle，Seattle
4,133,47.666453999999995,-122.311628,2016-09-08T03:56:08,night,Los_Angeles,America,PartlyCloudy,4842.1626,True,True,True,Seattle，King County
7,27,26.235257,-98.197591,2016-09-08T03:55:18,night,Chicago,America,Clear,849.4422599999999,True,True,True,Hidalgo County，Texas
8,35,20.525554,-97.4588,2016-09-08T03:55:01,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
9,19,32.928558,-84.340278,2016-09-08T03:54:50,night,New_York,America,Clear,86.49835999999999,False,False,False,Upson County，Georgia
10,116,32.930646,-84.339867,2016-09-08T03:53:51,night,New_York,America,Clear,86.49835999999999,False,False,False,Upson County，Georgia
11,74,32.943651,-84.33444300000001,2016-09-08T03:53:42,night,New_York,America,Clear,86.49835999999999,False,False,False,Upson County，Georgia
12,16,26.235552000000002,-98.197249,2016-09-08T03:53:40,night,Chicago,America,Clear,849.4422599999999,True,True,True,Hidalgo County，Texas
13,19,20.52577,-97.460237,2016-09-08T03:53:25,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
14,19,26.236029,-98.196908,2016-09-08T03:53:24,night,Chicago,America,Clear,849.4422599999999,True,True,True,Hidalgo County，Texas
15,19,47.664333,-122.31264499999999,2016-09-08T03:52:52,night,Los_Angeles,America,PartlyCloudy,4842.1626,True,True,True,Seattle，King County
16,16,20.526489,-97.46074499999999,2016-09-08T03:51:50,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
17,13,53.611417,-113.369528,2016-09-08T03:51:27,night,Edmonton,America,Clear,1055.8982,True,True,True,Edmonton，Division No. 11
18,32,20.52571,-97.459477,2016-09-08T03:51:14,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
20,23,26.331856,-81.814452,2016-09-08T03:50:41,night,New_York,America,Clear,0.0,False,False,False,Lee County，Florida
21,75,26.235527,-98.197677,2016-09-08T03:50:40,night,Chicago,America,Clear,849.4422599999999,True,True,True,Hidalgo County，Texas
22,35,20.524085,-97.458547,2016-09-08T03:50:29,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
23,29,32.823098,-116.90111,2016-09-08T03:50:15,night,Los_Angeles,America,Clear,1177.243,True,True,True,San Diego County，California
24,16,20.524929999999998,-97.460406,2016-09-08T03:49:53,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
25,58,26.235537,-98.197506,2016-09-08T03:49:49,night,Chicago,America,Clear,849.4422599999999,True,True,True,Hidalgo County，Texas
26,48,47.666999,-122.31261699999999,2016-09-08T03:49:48,night,Los_Angeles,America,PartlyCloudy,4842.1626,True,True,True,Seattle，King County
27,46,32.824114,-116.90166200000002,2016-09-08T03:49:39,night,Los_Angeles,America,Clear,1177.243,True,True,True,California，United States
29,19,20.525767000000002,-97.46032199999999,2016-09-08T03:49:02,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
30,21,42.396695,-71.07145799999999,2016-09-08T03:48:39,night,New_York,America,Overcast,5597.982,True,True,True,Middlesex County，Massachusetts
35,41,34.05043,-118.245399,2016-09-08T03:47:45,night,Los_Angeles,America,PartlyCloudy,3895.3920000000003,True,True,True,Los Angeles，Los Angeles County
36,13,47.664384000000005,-122.31330200000001,2016-09-08T03:47:35,night,Los_Angeles,America,PartlyCloudy,4842.1626,True,True,True,Seattle，King County
37,16,26.332884999999997,-81.811633,2016-09-08T03:47:24,night,New_York,America,Clear,0.0,False,False,False,Lee County，Florida
38,98,38.228901,-122.58707,2016-09-08T03:47:13,night,Los_Angeles,America,Clear,111.49209599999999,False,False,False,Sonoma County，California
39,41,38.228376000000004,-122.58733500000001,2016-09-08T03:47:04,night,Los_Angeles,America,Clear,111.49209599999999,False,False,False,Sonoma County，California
41,19,32.823563,-116.90156999999999,2016-09-08T03:46:38,night,Los_Angeles,America,Clear,1177.243,True,True,True,California，United States
43,46,32.823037,-116.901018,2016-09-08T03:45:54,night,Los_Angeles,America,Clear,1177.243,True,True,True,California，United States
44,114,20.525678,-97.460237,2016-09-08T03:45:45,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
45,116,26.334003999999997,-81.811975,2016-09-08T03:45:26,night,New_York,America,Clear,0.0,False,False,False,Lee County，Florida
48,19,47.665853000000006,-122.31353600000001,2016-09-08T03:44:46,night,Los_Angeles,America,PartlyCloudy,4842.1626,True,True,True,Seattle，King County
49,16,38.228819,-122.58733500000001,2016-09-08T03:44:34,night,Los_Angeles,America,Clear,111.49209599999999,False,False,False,Sonoma County，California
50,32,34.101633,-117.94398400000001,2016-09-08T03:43:55,night,Los_Angeles,America,Clear,683.3539,False,True,True,Los Angeles County，California
51,15,20.525659,-97.46066,2016-09-08T03:43:30,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
52,16,33.907069,-118.16351200000001,2016-09-08T03:43:28,night,Los_Angeles,America,PartlyCloudy,3756.671,True,True,True,Los Angeles County，California
53,41,20.525571,-97.460576,2016-09-08T03:43:12,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
55,74,33.433687,-112.04004499999999,2016-09-08T03:42:58,night,Phoenix,America,Clear,1411.2576,True,True,True,Phoenix，Maricopa County
57,63,26.233883000000002,-98.197591,2016-09-08T03:42:49,night,Chicago,America,Clear,849.4422599999999,True,True,True,Hidalgo County，Texas
