,pokemonId,latitude,longitude,appearedLocalTime,appearedTimeOfDay,city,continent,weather,population_density,urban,suburban,midurban,neigbour
811,60,19.251822,-99.60269100000001,2016-09-08T02:24:33,night,Mexico_City,America,MostlyCloudy,2102.9775,True,True,True,Santiaguito-Barrio-，Metepec
812,13,38.997254999999996,-77.406766,2016-09-08T02:24:33,night,New_York,America,PartlyCloudy,442.25145999999995,False,True,True,Sterling，Loudoun County
813,98,19.253988,-99.608692,2016-09-08T02:24:33,night,Mexico_City,America,MostlyCloudy,2102.9775,True,True,True,Santa Cruz-Barrio-，Metepec
814,16,28.382859999999997,-81.503019,2016-09-08T02:24:32,night,New_York,America,Clear,38.953922,False,False,False,Orange County，Florida
815,10,19.254887,-99.59860400000001,2016-09-08T02:24:32,night,Mexico_City,America,MostlyCloudy,2102.9775,True,True,True,Metepec，Metepec
817,19,40.078846,-104.803102,2016-09-08T02:24:29,night,Denver,America,Clear,72.15521,False,False,False,Weld County，Colorado
818,41,20.525948,-97.45609499999999,2016-09-08T02:24:29,night,Mexico_City,America,Foggy,2431.2341,True,True,True,Poza Rica，Poza Rica
819,13,34.06547,-81.196839,2016-09-08T02:24:21,night,New_York,America,Clear,819.1922599999999,True,True,True,Lexington County，South Carolina
820,19,29.555318,-95.661283,2016-09-08T02:24:20,night,Chicago,America,Clear,382.54028,False,False,True,Sugar Land，Fort Bend County
823,96,43.706546,-79.397103,2016-09-08T02:24:16,night,Toronto,America,LightRain,4039.2358,True,True,True,Old Toronto，Toronto
824,13,41.729547,-88.251632,2016-09-08T02:24:16,night,Chicago,America,Clear,913.3346,True,True,True,Naperville Township，DuPage County
825,13,32.909333000000004,-97.325202,2016-09-08T02:24:14,night,Chicago,America,Clear,69.58565,False,False,False,Tarrant County，Texas
826,16,42.324659999999994,-71.58440300000001,2016-09-08T02:24:10,night,New_York,America,Clear,880.8093,True,True,True,Middlesex County，Massachusetts
828,63,37.352119,-120.60502199999999,2016-09-08T02:24:07,night,Los_Angeles,America,Clear,330.89105,False,False,True,Merced County，California
830,19,19.252843,-99.60425699999999,2016-09-08T02:24:06,night,Mexico_City,America,MostlyCloudy,2102.9775,True,True,True,Metepec，Metepec
831,97,53.610687,-113.447115,2016-09-08T02:24:05,night,Edmonton,America,Clear,761.8856,False,True,True,Edmonton，Division No. 11
832,16,38.798317,-76.98208299999999,2016-09-08T02:24:04,night,New_York,America,PartlyCloudy,214.14536,False,False,True,"12, Oxon Hill，Prince George's County"
833,16,53.611793999999996,-113.441769,2016-09-08T02:24:02,night,Edmonton,America,Clear,761.8856,False,True,True,Edmonton，Division No. 11
834,48,20.477967,-97.450855,2016-09-08T02:24:02,night,Mexico_City,America,Foggy,166.13933,False,False,False,Coatzintla，Coatzintla
835,58,25.726172000000002,-100.379837,2016-09-08T02:24:01,night,Monterrey,America,Clear,2521.0115,True,True,True,Monterrey，Nuevo León
836,98,41.73059,-88.253761,2016-09-08T02:23:58,night,Chicago,America,Clear,913.3346,True,True,True,Naperville Township，DuPage County
837,22,29.970378999999998,-90.063911,2016-09-08T02:23:58,night,Chicago,America,Clear,1955.8636,True,True,True,New Orleans，Orleans Parish
838,32,44.491219,-73.183918,2016-09-08T02:23:57,night,New_York,America,Clear,256.71356000000003,False,False,True,Chittenden County，Vermont
839,129,28.383088,-81.500875,2016-09-08T02:23:53,night,New_York,America,Clear,38.953922,False,False,False,Florida，United States
840,16,53.635799,-113.48931499999999,2016-09-08T02:23:52,night,Edmonton,America,PartlyCloudy,761.8856,False,True,True,Edmonton，Division No. 11
841,41,20.477413000000002,-97.448657,2016-09-08T02:23:51,night,Mexico_City,America,Foggy,166.13933,False,False,False,Coatzintla，Coatzintla
842,19,44.475395,-73.212962,2016-09-08T02:23:51,night,New_York,America,Clear,591.0899,False,True,True,Burlington，Chittenden County
843,35,20.477876000000002,-97.448657,2016-09-08T02:23:51,night,Mexico_City,America,Foggy,166.13933,False,False,False,Coatzintla，Coatzintla
844,46,26.236545,-98.203912,2016-09-08T02:23:49,night,Chicago,America,Clear,1517.408,True,True,True,Hidalgo County，Texas
845,77,44.476091,-73.21315799999999,2016-09-08T02:23:49,night,New_York,America,Clear,591.0899,False,True,True,Burlington，Chittenden County
