BOROUGH,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE
BRONX,8627,34385,1962,625,173
BROOKLYN,17375,80207,4980,1612,461
MANHATTAN,13318,66958,2024,501,129
QUEENS,12962,70260,4498,1420,314
STATEN ISLAND,2343,10676,759,165,32
