0,4073
1,4055
2,3549
3,3334
4,2386
5,2035
6,1908
7,1822
8,1687
9,1542
10,1428
11,1279
12,1264
13,1210
14,1206
15,1199
16,1038
17,1005
18,988
19,988
20,973
21,816
22,805
23,749
24,737
25,701
26,671
27,606
28,594
29,588
30,586
31,565
32,558
33,532
34,530
35,521
36,508
37,501
38,496
39,496
40,493
41,436
42,436
43,426
44,400
45,397
46,386
47,379
48,378
49,374
50,373
51,359
52,358
53,352
54,349
55,346
56,343
57,340
58,289
59,288
60,286
61,280
62,273
63,268
64,264
65,258
66,251
67,233
68,233
69,229
70,223
71,220
72,212
73,212
74,211
75,210
76,209
77,209
78,206
79,205
80,205
81,203
82,201
83,197
84,193
85,191
86,190
87,188
88,184
89,183
90,181
91,173
92,173
93,171
94,170
95,170
96,169
97,168
98,168
99,166
100,163
101,160
102,160
103,158
104,157
105,154
106,154
107,151
108,150
109,148
110,148
111,148
112,145
113,145
114,143
115,142
116,142
117,140
118,137
119,135
120,135
121,134
122,133
123,133
124,132
125,126
126,123
127,122
128,122
129,121
130,121
131,119
132,116
133,115
134,114
135,111
136,107
137,105
138,104
139,103
140,103
141,100
142,100
143,99
144,98
145,98
146,97
147,97
148,96
149,94
150,94
151,93
152,93
153,92
154,92
155,91
156,91
157,91
158,91
159,90
160,89
161,89
162,87
163,87
164,87
165,85
166,85
167,84
168,83
169,83
170,83
171,83
172,82
173,82
174,82
175,82
176,80
177,80
178,79
179,78
180,76
181,76
182,76
183,76
184,76
185,75
186,73
187,73
188,72
189,72
190,71
191,71
192,71
193,71
194,70
195,70
196,70
197,70
198,69
199,69
200,69
201,68
202,68
203,68
204,67
205,67
206,67
207,67
208,67
209,67
210,67
211,66
212,66
213,66
214,66
215,66
216,65
217,65
218,65
219,65
220,65
221,64
222,64
223,64
224,64
225,62
226,62
227,61
228,61
229,61
230,61
231,61
232,60
233,59
234,59
235,59
236,58
237,58
238,58
239,58
240,58
241,58
242,57
243,57
244,57
245,56
246,56
247,56
248,56
249,55
250,55
251,55
252,55
253,55
254,55
255,55
256,55
257,55
258,55
259,55
260,54
261,54
262,54
263,53
264,53
265,53
266,53
267,53
268,52
269,52
270,52
271,52
272,52
273,51
274,51
275,51
276,51
277,51
278,50
279,50
280,50
281,50
282,50
