Pokemon No.,Name,Type 1,appear_rate,l_evening,Capture_rate,l_morn,l_night,population_density
149,Dragonite,Dragon,0.008,0.4615384615384616,0.64,0.2307692307692308,0.3076923076923077,1396.4113975000002
143,Snorlax,Normal,0.024333333333333332,0.28,0.6666666666666666,0.36,0.36,1381.407306849315
131,Lapras,Water,0.006666666666666667,0.16666666666666666,0.6666666666666666,0.4166666666666667,0.4166666666666667,1151.8830523999998
59,Arcanine,Fire,0.010666666666666666,0.2727272727272727,0.6282051282051282,0.09090909090909093,0.6363636363636364,1296.3093003125002
103,Exeggutor,Grass,0.009666666666666669,0.2857142857142857,0.6666666666666666,0.21428571428571427,0.5,1481.7629871034485
89,Muk,Poison,0.0016666666666666668,0.2,0.5,0.4,0.4,1357.125044
68,Machamp,Fighting,,,0.6666666666666666,,,
36,Clefable,Fairy,0.021333333333333333,0.25,0.6111111111111112,0.25,0.5,1560.3682414062498
76,Golem,Rock,0.006666666666666667,0.25,0.6666666666666666,0.25,0.5,794.4678946500002
112,Rhydon,Ground,0.014333333333333332,0.2857142857142857,0.6666666666666666,0.3333333333333333,0.3809523809523809,1903.292261139535
97,Hypno,Psychic,0.106,0.2789473684210526,0.5353535353535354,0.3578947368421053,0.3631578947368421,1643.5647261918218
135,Jolteon,Electric,0.0033333333333333327,0.0,0.6666666666666666,0.1,0.9,1299.1775694000005
127,Pinsir,Bug,0.468,0.2346041055718475,0.6666666666666666,0.30498533724340177,0.4604105571847507,2449.2823268005736
94,Gengar,Ghost,0.004,0.3333333333333333,0.6481481481481481,0.2222222222222222,0.4444444444444444,911.6041965
124,Jynx,Ice,0.25166666666666665,0.2748267898383372,0.5050505050505051,0.3695150115473441,0.3556581986143187,1861.9075672463532
