,Title,Awards,Award_wins,Award_nominated,oscar_nominated,Oscar_Won,Golden_Globe_nominated,Golden_Globe_Won,Primetime_Emmy_nominated,Primetime_Emmys_Won,BAFTA_Film_nominated,BAFTA_Film_won
4635,180 Degree,nan,0,0,0,0,0,0,0,0,0,0
4636,Jennifer Lopez: On the Floor,nan,0,0,0,0,0,0,0,0,0,0
4637,Check; Please! Northwest,nan,0,0,0,0,0,0,0,0,0,0
4638,A Gypsy Life for Me,nan,0,0,0,0,0,0,0,0,0,0
4639,Occupy Here Now,nan,0,0,0,0,0,0,0,0,0,0
4640,A Loving Home,nan,0,0,0,0,0,0,0,0,0,0
4641,Tarnished Gluttony,nan,0,0,0,0,0,0,0,0,0,0
4642,101 Sätt att åka ur en gameshow,nan,0,0,0,0,0,0,0,0,0,0
4643,El Despertar,nan,0,0,0,0,0,0,0,0,0,0
4644,World Peace Tour,nan,0,0,0,0,0,0,0,0,0,0
4645,AdamLive,nan,0,0,0,0,0,0,0,0,0,0
4646,Al Iste!,nan,0,0,0,0,0,0,0,0,0,0
4647,Akbari Asghari,nan,0,0,0,0,0,0,0,0,0,0
4648,Al di là del buio,nan,0,0,0,0,0,0,0,0,0,0
4649,Sugar,nan,0,0,0,0,0,0,0,0,0,0
4650,Teach Me How to Dream,nan,0,0,0,0,0,0,0,0,0,0
4651,Akroasis,nan,0,0,0,0,0,0,0,0,0,0
4652,11 règles 2,nan,0,0,0,0,0,0,0,0,0,0
4653,Hypnos,nan,0,0,0,0,0,0,0,0,0,0
4654,Africa Investigates,nan,0,0,0,0,0,0,0,0,0,0
4655,Elizabeth Taylor: Auction of a Lifetime,nan,0,0,0,0,0,0,0,0,0,0
4656,A Different Breed,nan,0,0,0,0,0,0,0,0,0,0
4657,My First Sex Teacher 24,nan,0,0,0,0,0,0,0,0,0,0
4658,A Day in the Life,nan,0,0,0,0,0,0,0,0,0,0
4659,A spas per la Ladinia,nan,0,0,0,0,0,0,0,0,0,0
4660,30 días juntos,nan,0,0,0,0,0,0,0,0,0,0
4661,23 pares,nan,0,0,0,0,0,0,0,0,0,0
4662,Take Off,nan,0,0,0,0,0,0,0,0,0,0
4663,Spoorloos Verdwyn: PJ Cruz,nan,0,0,0,0,0,0,0,0,0,0
4664,Afghanistan: The Great Game,nan,0,0,0,0,0,0,0,0,0,0
4665,Al Yazmalim,nan,0,0,0,0,0,0,0,0,0,0
4666,Siddhartha: El Poema y la Caja,nan,0,0,0,0,0,0,0,0,0,0
4667,Dragon Ball Z: Ultimate Tenkaichi,nan,0,0,0,0,0,0,0,0,0,0
4668,+100500,nan,0,0,0,0,0,0,0,0,0,0
4669,Ahtung; Russish!,nan,0,0,0,0,0,0,0,0,0,0
4670,Al khorba,nan,0,0,0,0,0,0,0,0,0,0
4671,Akademiya krasoty s Lyaysan Utyashevoy,nan,0,0,0,0,0,0,0,0,0,0
4672,Ala chilena,nan,0,0,0,0,0,0,0,0,0,0
4673,Alcohol & 'Risky Behaviour',nan,0,0,0,0,0,0,0,0,0,0
4674,Hang the DJ,nan,0,0,0,0,0,0,0,0,0,0
4675,A Wágner család,nan,0,0,0,0,0,0,0,0,0,0
4676,Aghabayevs (Agabeyovlar),nan,0,0,0,0,0,0,0,0,0,0
4677,The Narrator,nan,0,0,0,0,0,0,0,0,0,0
4678,Breakfast of Champions,nan,0,0,0,0,0,0,0,0,0,0
4679,7 Cities,nan,0,0,0,0,0,0,0,0,0,0
4680,Aircrash Confidential: Fire on Board,nan,0,0,0,0,0,0,0,0,0,0
4681,Aircrash Confidential: Terrorism,nan,0,0,0,0,0,0,0,0,0,0
4682,Air Land & Sea,nan,0,0,0,0,0,0,0,0,0,0
4683,205 the Series,nan,0,0,0,0,0,0,0,0,0,0
4684,The Beginning of the End,nan,0,0,0,0,0,0,0,0,0,0
4685,40 ó 20,nan,0,0,0,0,0,0,0,0,0,0
4686,A Time of Thorns: Zaman El Shok,nan,0,0,0,0,0,0,0,0,0,0
4687,Akemarropa (II Temporada),nan,0,0,0,0,0,0,0,0,0,0
4688,A Higher Education,nan,0,0,0,0,0,0,0,0,0,0
4689,8k Radius Classic,nan,0,0,0,0,0,0,0,0,0,0
4690,7neen,nan,0,0,0,0,0,0,0,0,0,0
4691,Big Boss: The Streets IsTalking,nan,0,0,0,0,0,0,0,0,0,0
4692,3615 Usul,nan,0,0,0,0,0,0,0,0,0,0
4693,A Movie Review,nan,0,0,0,0,0,0,0,0,0,0
4694,Abroad in Japan,nan,0,0,0,0,0,0,0,0,0,0
4695,Brute Force,nan,0,0,0,0,0,0,0,0,0,0
4696,Athena,nan,0,0,0,0,0,0,0,0,0,0
4697,2001: A Space Odyssey,Won 1 Oscar. Another 13 wins & 7 nominations.,0,0,0,0,0,0,0,0,0,0
4698,2001: A Space Odyssey,Won 1 Oscar. Another 13 wins & 7 nominations.,0,0,0,0,0,0,0,0,0,0
4699,Happy Days,Won 3 Golden Globes. Another 13 wins & 19 nominations.,0,0,0,0,0,3,0,0,0,0
4700,Star Wars: Episode IV - A New Hope,Won 6 Oscars. Another 48 wins & 28 nominations.,0,0,0,6,0,0,0,0,0,0
4701,The Hobbit,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
4702,Youngblood,1 win.,1,0,0,0,0,0,0,0,0,0
4703,Youngblood,1 win.,1,0,0,0,0,0,0,0,0,0
4704,Star Trek: The Next Generation,Won 18 Primetime Emmys. Another 16 wins & 60 nominations.,0,0,0,0,0,0,0,0,0,0
4705,Dragnet,nan,0,0,0,0,0,0,0,0,0,0
4706,Wild Thing,nan,0,0,0,0,0,0,0,0,0,0
4707,Liar Liar,Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,0,0,0,0,1,0,0,0,0,0
4708,Report,nan,0,0,0,0,0,0,0,0,0,0
4709,Chuck Norris: Karate Kommandos,nan,0,0,0,0,0,0,0,0,0,0
4710,The Secret Life of Walter Mitty,5 wins & 16 nominations.,5,16,0,0,0,0,0,0,0,0
4711,Gameboy,1 nomination.,0,0,0,0,0,0,0,0,0,0
4712,The Wayne Brady Show,6 wins & 5 nominations.,6,5,0,0,0,0,0,0,0,0
4713,Action Jackson,5 nominations.,0,5,0,0,0,0,0,0,0,0
4714,The Wild,2 nominations.,0,2,0,0,0,0,0,0,0,0
4715,Battlestar Galactica,Won 3 Primetime Emmys. Another 34 wins & 89 nominations.,0,0,0,0,0,0,0,3,0,0
4716,Transformers,Nominated for 3 Oscars. Another 19 wins & 40 nominations.,0,0,3,0,0,0,0,0,0,0
4717,Saturday Night Live: The Best of Cheri Oteri,nan,0,0,0,0,0,0,0,0,0,0
4718,The A-Team,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
4719,Alan Partridge,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
4720,The Croods,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,0,0,0,0,0,0,0,0,0,0
4721,Saturday Night Live: The Best of Chris Kattan,nan,0,0,0,0,0,0,0,0,0,0
4722,Aftermath,nan,0,0,0,0,0,0,0,0,0,0
4723,Prisoners of the Sun,nan,0,0,0,0,0,0,0,0,0,0
4724,Escape from Planet Earth,1 win.,1,0,0,0,0,0,0,0,0,0
4725,Man of Steel,7 wins & 42 nominations.,7,42,0,0,0,0,0,0,0,0
4726,Untitled Nicole Sullivan Project,nan,0,0,0,0,0,0,0,0,0,0
4727,The Boxtrolls,Nominated for 1 Oscar. Another 8 wins & 58 nominations.,0,0,0,0,0,0,0,0,0,0
4728,Interstellar,Won 1 Oscar. Another 39 wins & 134 nominations.,0,0,0,0,0,0,0,0,0,0
4729,World War Z,3 wins & 23 nominations.,3,23,0,0,0,0,0,0,0,0
4730,The Power of Few,nan,0,0,0,0,0,0,0,0,0,0
4731,Dracula Untold,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
4732,Godzilla,5 wins & 28 nominations.,5,28,0,0,0,0,0,0,0,0
4733,The Avengers,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,0,0,0,0,0,0,0,0,0,0
4734,Epic,2 wins & 21 nominations.,2,21,0,0,0,0,0,0,0,0
4735,Raven-Symoné: Raven's Postcards from Spain,nan,0,0,0,0,0,0,0,0,0,0
4736,Mr. Peabody & Sherman,2 wins & 16 nominations.,2,16,0,0,0,0,0,0,0,0
4737,Love & Mercy,Nominated for 2 Golden Globes. Another 20 wins & 52 nominations.,0,0,0,0,2,0,0,0,0,0
4738,Rule Number One,2 wins & 1 nomination.,2,0,0,0,0,0,0,0,0,0
4739,Portland,nan,0,0,0,0,0,0,0,0,0,0
4740,The Sisterhood of Night,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
4741,I Believe in Unicorns,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
4742,Perfection,1 win.,1,0,0,0,0,0,0,0,0,0
4743,Chloe's Closet,nan,0,0,0,0,0,0,0,0,0,0
4744,Jack Ryan: Shadow Recruit,2 nominations.,0,2,0,0,0,0,0,0,0,0
4745,The Lone Ranger,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,0,0,2,0,0,0,0,0,0,0
4746,The Final Song,nan,0,0,0,0,0,0,0,0,0,0
4747,Anchorman 2: The Legend Continues,1 win & 23 nominations.,1,23,0,0,0,0,0,0,0,0
4748,RoboCop,4 wins & 1 nomination.,4,0,0,0,0,0,0,0,0,0
4749,The Arrested Development Documentary Project,nan,0,0,0,0,0,0,0,0,0,0
4750,Paradise,nan,0,0,0,0,0,0,0,0,0,0
4751,Glam God with Vivica A. Fox,nan,0,0,0,0,0,0,0,0,0,0
4752,Aliens: Colonial Marines,nan,0,0,0,0,0,0,0,0,0,0
4753,Fiji,nan,0,0,0,0,0,0,0,0,0,0
4754,Teenage Mutant Ninja Turtles,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0,0
4755,Iron Man 3,Nominated for 1 Oscar. Another 17 wins & 53 nominations.,0,0,0,0,0,0,0,0,0,0
4756,The Great Gatsby,Won 2 Oscars. Another 44 wins & 74 nominations.,0,0,0,2,0,0,0,0,0,0
4757,If I Stay,2 wins & 1 nomination.,2,0,0,0,0,0,0,0,0,0
4758,Born Without a Beat: The Journey of a Deaf Raver,nan,0,0,0,0,0,0,0,0,0,0
4759,Star Trek Into Darkness,Nominated for 1 Oscar. Another 6 wins & 46 nominations.,0,0,0,0,0,0,0,0,0,0
4760,Hansel & Gretel: Witch Hunters,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
4761,The Wolverine,2 wins & 11 nominations.,2,11,0,0,0,0,0,0,0,0
4762,Monsters University,Nominated for 1 BAFTA Film Award. Another 9 wins & 54 nominations.,0,0,0,0,0,0,0,0,1,0
4763,Gravity,Won 7 Oscars. Another 215 wins & 169 nominations.,0,0,0,7,0,0,0,0,0,0
4764,Big Sur,1 nomination.,0,0,0,0,0,0,0,0,0,0
4765,David Alan Grier: Comedy You Can Believe In,nan,0,0,0,0,0,0,0,0,0,0
4766,Rock and Roll: The Movie,nan,0,0,0,0,0,0,0,0,0,0
4767,The Lego Movie,Nominated for 1 Oscar. Another 70 wins & 59 nominations.,0,0,0,0,0,0,0,0,0,0
4768,Hero,nan,0,0,0,0,0,0,0,0,0,0
4769,Exodus: Gods and Kings,4 nominations.,0,4,0,0,0,0,0,0,0,0
4770,The Skeleton Twins,4 wins & 10 nominations.,4,10,0,0,0,0,0,0,0,0
4771,Maleficent,Nominated for 1 Oscar. Another 9 wins & 40 nominations.,0,0,0,0,0,0,0,0,0,0
4772,Warm Bodies,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
4773,Monument to Michael Jackson,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
4774,24: Live Another Day,Nominated for 3 Primetime Emmys. Another 14 nominations.,0,0,0,0,0,0,3,0,0,0
4775,A Good Day to Die Hard,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
4776,Echt! - Das Magazin zum Staunen,nan,0,0,0,0,0,0,0,0,0,0
4777,Free Birds,2 nominations.,0,2,0,0,0,0,0,0,0,0
4778,Broken Promises: Where Is the Love?,nan,0,0,0,0,0,0,0,0,0,0
4779,Oz the Great and Powerful,5 wins & 31 nominations.,5,31,0,0,0,0,0,0,0,0
4780,Edge of Tomorrow,11 wins & 34 nominations.,0,0,0,0,0,0,0,0,0,0
4781,Love; Rosie,nan,0,0,0,0,0,0,0,0,0,0
4782,Romeo & Juliet,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
4783,How to Train Your Dragon 2,Nominated for 1 Oscar. Another 13 wins & 59 nominations.,0,0,0,0,0,0,0,0,0,0
4784,Kick-Ass 2,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
4785,A Miracle in Spanish Harlem,1 nomination.,0,0,0,0,0,0,0,0,0,0
4786,Life of Crime,nan,0,0,0,0,0,0,0,0,0,0
4787,Pacific Rim,Nominated for 1 BAFTA Film Award. Another 5 wins & 42 nominations.,0,0,0,0,0,0,0,0,1,0
4788,Ace Wonder: Message from a Dead Man,nan,0,0,0,0,0,0,0,0,0,0
4789,Now You See Me,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
4790,The River,nan,0,0,0,0,0,0,0,0,0,0
4791,101 Proposals,nan,0,0,0,0,0,0,0,0,0,0
4792,Collision,nan,0,0,0,0,0,0,0,0,0,0
4793,Axe Giant: The Wrath of Paul Bunyan,nan,0,0,0,0,0,0,0,0,0,0
4794,Despicable Me 2,Nominated for 2 Oscars. Another 12 wins & 63 nominations.,0,0,2,0,0,0,0,0,0,0
4795,Mario Lopez: Saved by the Baby,1 nomination.,0,0,0,0,0,0,0,0,0,0
4796,Planes,5 nominations.,0,5,0,0,0,0,0,0,0,0
4797,All Fall Down,1 nomination.,0,0,0,0,0,0,0,0,0,0
4798,Alexander and the Terrible; Horrible; No Good; Very Bad Day,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
4799,King of Prussia,nan,0,0,0,0,0,0,0,0,0,0
4800,Meth Head,14 wins.,0,0,0,0,0,0,0,0,0,0
4801,Anna,3 nominations.,0,3,0,0,0,0,0,0,0,0
4802,Sugar,2 wins.,2,0,0,0,0,0,0,0,0,0
4803,Ender's Game,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
4804,Showcase,nan,0,0,0,0,0,0,0,0,0,0
4805,Ask That Guy with the Glasses,nan,0,0,0,0,0,0,0,0,0,0
4806,Blood Ties,nan,0,0,0,0,0,0,0,0,0,0
4807,Brother's Keeper,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
4808,1864,8 nominations.,0,8,0,0,0,0,0,0,0,0
4809,Walking with Dinosaurs 3D,1 nomination.,0,0,0,0,0,0,0,0,0,0
4810,Bullseye,nan,0,0,0,0,0,0,0,0,0,0
4811,The Maze Runner,4 wins & 10 nominations.,4,10,0,0,0,0,0,0,0,0
4812,Tokyo Family,2 wins & 16 nominations.,2,16,0,0,0,0,0,0,0,0
4813,Savannah,nan,0,0,0,0,0,0,0,0,0,0
4814,After Earth,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
4815,Family Weekend,nan,0,0,0,0,0,0,0,0,0,0
4816,The Nut Job,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
4817,About Last Night,1 nomination.,0,0,0,0,0,0,0,0,0,0
4818,Dubois: The Quest for the Missing Link,nan,0,0,0,0,0,0,0,0,0,0
4819,A Spell to Ward Off the Darkness,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
4820,Big Ass Spider!,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
4821,Andaaz,nan,0,0,0,0,0,0,0,0,0,0
4822,The War Around Us,1 win.,1,0,0,0,0,0,0,0,0,0
4823,Last Love,2 nominations.,0,2,0,0,0,0,0,0,0,0
4824,Vertigo,nan,0,0,0,0,0,0,0,0,0,0
4825,Captain America: The Winter Soldier,Nominated for 1 Oscar. Another 5 wins & 49 nominations.,0,0,0,0,0,0,0,0,0,0
4826,The German Doctor,18 wins & 22 nominations.,0,0,0,0,0,0,0,0,0,0
4827,House of Cards,Won 2 Golden Globes. Another 25 wins & 162 nominations.,0,0,0,0,0,2,0,0,0,0
4828,The Hidden Hand: Alien Contact and the Government Cover-Up,nan,0,0,0,0,0,0,0,0,0,0
4829,Turbo,1 win & 11 nominations.,1,11,0,0,0,0,0,0,0,0
4830,Song of the Sea,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,0,0,0,0,0,0,0,0,0,0
4831,Dreams,nan,0,0,0,0,0,0,0,0,0,0
4832,Tension(s),nan,0,0,0,0,0,0,0,0,0,0
4833,The Amazing Spider-Man 2,3 wins & 29 nominations.,3,29,0,0,0,0,0,0,0,0
4834,X-Men: Days of Future Past,Nominated for 1 Oscar. Another 15 wins & 42 nominations.,0,0,0,0,0,0,0,0,0,0
4835,476 A.D. Chapter One: The Last Light of Aries,nan,0,0,0,0,0,0,0,0,0,0
4836,Redemption,nan,0,0,0,0,0,0,0,0,0,0
4837,Epävirallinen linja,nan,0,0,0,0,0,0,0,0,0,0
4838,These Are the Rules,9 wins & 4 nominations.,9,4,0,0,0,0,0,0,0,0
4839,Fast & Furious 6,8 wins & 21 nominations.,8,21,0,0,0,0,0,0,0,0
4840,The Call,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0,0
4841,Penguins of Madagascar,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
4842,Worlds Apart,1 win.,1,0,0,0,0,0,0,0,0,0
4843,College Musical,nan,0,0,0,0,0,0,0,0,0,0
4844,Trash,Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,0,0,0,0,0,0,0,0,1,0
4845,Let's Be Cops,1 nomination.,0,0,0,0,0,0,0,0,0,0
4846,The Day Elvis Presley Addressed the Tennessee State Legislature,nan,0,0,0,0,0,0,0,0,0,0
4847,The Big Wedding,2 nominations.,0,2,0,0,0,0,0,0,0,0
4848,Very Good Girls,nan,0,0,0,0,0,0,0,0,0,0
4849,Alien Encounters: Superior Fan Power Since 1979,nan,0,0,0,0,0,0,0,0,0,0
4850,Breakup at a Wedding,nan,0,0,0,0,0,0,0,0,0,0
4851,Carrie,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0,0
4852,Red Sky,2 nominations.,0,2,0,0,0,0,0,0,0,0
4853,In Sicily,nan,0,0,0,0,0,0,0,0,0,0
4854,La Peur aux trousse,nan,0,0,0,0,0,0,0,0,0,0
4855,The Hangover Part III,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
4856,The Hunger Games: Catching Fire,Nominated for 1 Golden Globe. Another 21 wins & 59 nominations.,0,0,0,0,1,0,0,0,0,0
4857,The Hunger Games: Mockingjay - Part 1,Nominated for 1 Golden Globe. Another 16 wins & 26 nominations.,0,0,0,0,1,0,0,0,0,0
4858,Chine; le nouvel empire,nan,0,0,0,0,0,0,0,0,0,0
4859,Evil Never Dies,nan,0,0,0,0,0,0,0,0,0,0
4860,Sex Tape,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
4861,Delivery: The Beast Within,1 win.,1,0,0,0,0,0,0,0,0,0
4862,Hide Your Smiling Faces,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
4863,Strike One,2 wins & 1 nomination.,2,0,0,0,0,0,0,0,0,0
4864,A Most Wanted Man,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
4865,The Cooler Bandits,1 win.,1,0,0,0,0,0,0,0,0,0
4866,Ghost of Goodnight Lane,nan,0,0,0,0,0,0,0,0,0,0
4867,Thor: The Dark World,2 wins & 18 nominations.,2,18,0,0,0,0,0,0,0,0
4868,Cloudy with a Chance of Meatballs 2,16 nominations.,0,0,0,0,0,0,0,0,0,0
4869,Machete Kills,3 nominations.,0,3,0,0,0,0,0,0,0,0
4870,Neighbors,6 wins & 11 nominations.,6,11,0,0,0,0,0,0,0,0
4871,Heavenly Sword,2 nominations.,0,2,0,0,0,0,0,0,0,0
4872,Guardians of the Galaxy,Nominated for 2 Oscars. Another 48 wins & 92 nominations.,0,0,2,0,0,0,0,0,0,0
4873,Mirage,1 nomination.,0,0,0,0,0,0,0,0,0,0
4874,All Is Lost,Nominated for 1 Oscar. Another 3 wins & 45 nominations.,0,0,0,0,0,0,0,0,0,0
4875,Banshee,Won 1 Primetime Emmy. Another 1 win & 5 nominations.,0,0,0,0,0,0,0,0,0,0
4876,Closer to the Moon,9 wins & 3 nominations.,9,3,0,0,0,0,0,0,0,0
4877,Non-Stop,1 nomination.,0,0,0,0,0,0,0,0,0,0
4878,12 Years a Slave,Won 3 Oscars. Another 234 wins & 312 nominations.,0,0,0,3,0,0,0,0,0,0
4879,Aula de castigo,nan,0,0,0,0,0,0,0,0,0,0
4880,Randy Parsons: American Luthier,nan,0,0,0,0,0,0,0,0,0,0
4881,Kite,nan,0,0,0,0,0,0,0,0,0,0
4882,Zombie Hunters: City of the Dead; Episode 11,nan,0,0,0,0,0,0,0,0,0,0
4883,Cyborg Nemesis,nan,0,0,0,0,0,0,0,0,0,0
4884,On the Line,1 nomination.,0,0,0,0,0,0,0,0,0,0
4885,Cracked,7 nominations.,0,7,0,0,0,0,0,0,0,0
4886,Armed Response,1 win.,1,0,0,0,0,0,0,0,0,0
4887,Ashley,3 wins.,3,0,0,0,0,0,0,0,0,0
4888,Grace of Monaco,Nominated for 2 Primetime Emmys. Another 1 win & 2 nominations.,0,0,0,0,0,0,2,0,0,0
4889,Dumb and Dumber To,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
4890,Pieces of Talent,4 wins.,4,0,0,0,0,0,0,0,0,0
4891,Brilliant Mistakes,nan,0,0,0,0,0,0,0,0,0,0
4892,Dead Man Down,nan,0,0,0,0,0,0,0,0,0,0
4893,Grand Theft Auto V,10 wins & 23 nominations.,0,0,0,0,0,0,0,0,0,0
4894,Playdate,nan,0,0,0,0,0,0,0,0,0,0
4895,Lust for Love,2 wins.,2,0,0,0,0,0,0,0,0,0
4896,Celebrity Name Game,1 win.,1,0,0,0,0,0,0,0,0,0
4897,A Casa é Minha,nan,0,0,0,0,0,0,0,0,0,0
4898,Code Red,nan,0,0,0,0,0,0,0,0,0,0
4899,I Am Ichihashi: Journal of a Murderer,nan,0,0,0,0,0,0,0,0,0,0
4900,Steve Chong Finds Out That Suicide Is a Bad Idea,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
4901,Angry Video Game Nerd: The Movie,nan,0,0,0,0,0,0,0,0,0,0
4902,Sofia the First,Nominated for 2 Primetime Emmys. Another 4 wins & 15 nominations.,0,0,0,0,0,0,2,0,0,0
4903,The Devil's in the Details,nan,0,0,0,0,0,0,0,0,0,0
4904,Playing It Cool,nan,0,0,0,0,0,0,0,0,0,0
4905,Josh,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
4906,Saving Mr. Banks,Nominated for 1 Oscar. Another 12 wins & 71 nominations.,0,0,0,0,0,0,0,0,0,0
4907,Review,nan,0,0,0,0,0,0,0,0,0,0
4908,Black Box,nan,0,0,0,0,0,0,0,0,0,0
4909,Welcome Home,2 nominations.,0,2,0,0,0,0,0,0,0,0
4910,Dancing on the Edge,Won 1 Golden Globe. Another 4 wins & 16 nominations.,0,0,0,0,0,1,0,0,0,0
4911,Avengers,nan,0,0,0,0,0,0,0,0,0,0
4912,Batman: The Dark Knight Returns; Part 2,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
4913,Tracks,2 wins & 18 nominations.,2,18,0,0,0,0,0,0,0,0
4914,Bounty Hunters,nan,0,0,0,0,0,0,0,0,0,0
4915,Finding Mr. Right,9 wins & 13 nominations.,9,13,0,0,0,0,0,0,0,0
4916,Valentino,1 nomination.,0,0,0,0,0,0,0,0,0,0
4917,Finding Home,nan,0,0,0,0,0,0,0,0,0,0
4918,3 Days to Kill,nan,0,0,0,0,0,0,0,0,0,0
4919,The Art of the Steal,5 nominations.,0,5,0,0,0,0,0,0,0,0
4920,The Redemption of Henry Myers,nan,0,0,0,0,0,0,0,0,0,0
4921,Frontier,nan,0,0,0,0,0,0,0,0,0,0
4922,Into the Woods,Nominated for 3 Oscars. Another 11 wins & 69 nominations.,0,0,3,0,0,0,0,0,0,0
4923,Alcohol and Drug Addiction,nan,0,0,0,0,0,0,0,0,0,0
4924,Death Do Us Part,2 nominations.,0,2,0,0,0,0,0,0,0,0
4925,Urban Fighter,nan,0,0,0,0,0,0,0,0,0,0
4926,Unforgettable,nan,0,0,0,0,0,0,0,0,0,0
4927,Amachan,nan,0,0,0,0,0,0,0,0,0,0
4928,Bates Motel,Nominated for 3 Primetime Emmys. Another 2 wins & 48 nominations.,0,0,0,0,0,0,3,0,0,0
4929,Heads Up,nan,0,0,0,0,0,0,0,0,0,0
4930,Are You Tougher Than a Boy Scout?,nan,0,0,0,0,0,0,0,0,0,0
4931,Stage Fright,1 nomination.,0,0,0,0,0,0,0,0,0,0
4932,A Promise,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
4933,Sex; Drugs & Taxation,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0,0
4934,Welcome to the Jungle,1 win.,1,0,0,0,0,0,0,0,0,0
4935,About Time,3 wins & 9 nominations.,3,9,0,0,0,0,0,0,0,0
4936,The Disciple,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
4937,The Outsider,nan,0,0,0,0,0,0,0,0,0,0
4938,The Wedding Pact,nan,0,0,0,0,0,0,0,0,0,0
4939,Futuro Beach,8 wins & 11 nominations.,8,11,0,0,0,0,0,0,0,0
4940,The Hot Flashes,2 nominations.,0,2,0,0,0,0,0,0,0,0
4941,Asian Gangs,nan,0,0,0,0,0,0,0,0,0,0
4942,The Other Woman,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
4943,Jeu de couples,nan,0,0,0,0,0,0,0,0,0,0
4944,Instinct,nan,0,0,0,0,0,0,0,0,0,0
4945,Transcendence,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
4946,U.S. #1: American Profile,nan,0,0,0,0,0,0,0,0,0,0
4947,On the Run,nan,0,0,0,0,0,0,0,0,0,0
4948,Blandings,nan,0,0,0,0,0,0,0,0,0,0
4949,Bursting the Bubble,nan,0,0,0,0,0,0,0,0,0,0
4950,Finders Keepers: The Root of All Evil,nan,0,0,0,0,0,0,0,0,0,0
4951,Amber,1 win.,1,0,0,0,0,0,0,0,0,0
4952,C'est la crise,nan,0,0,0,0,0,0,0,0,0,0
4953,Bikes Over Baghdad,nan,0,0,0,0,0,0,0,0,0,0
4954,Don Jon,1 win & 28 nominations.,1,28,0,0,0,0,0,0,0,0
4955,Sand Castles,13 wins & 11 nominations.,0,0,0,0,0,0,0,0,0,0
4956,The Love Punch,1 nomination.,0,0,0,0,0,0,0,0,0,0
4957,Second Chances,nan,0,0,0,0,0,0,0,0,0,0
4958,Send in the Clowns,nan,0,0,0,0,0,0,0,0,0,0
4959,Bob Servant Independent,2 nominations.,0,2,0,0,0,0,0,0,0,0
4960,Pro Wrestlers vs Zombies,nan,0,0,0,0,0,0,0,0,0,0
4961,Head Cases: Serial Killers in the Delaware Valley,nan,0,0,0,0,0,0,0,0,0,0
4962,Wolfman,nan,0,0,0,0,0,0,0,0,0,0
4963,A Haunted House,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
4964,I Give It a Year,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0
4965,Big Hero 6,Won 1 Oscar. Another 13 wins & 53 nominations.,0,0,0,0,0,0,0,0,0,0
4966,Scars,1 win.,1,0,0,0,0,0,0,0,0,0
4967,Lovestruck: The Musical,nan,0,0,0,0,0,0,0,0,0,0
4968,Life's a Beach,nan,0,0,0,0,0,0,0,0,0,0
